Hand_ID,Session_ID,Game_start,Game_duration,Hole_Card,Hand_Value,Winner,Pot,WinLoss,Leaderboard_points,Insurance
SG1718,1718,"October 07, 2021, 12:00:00 AM",14:10,JS/8H,10 High,Vincent Gutierrez,0.82,0.43,0.48,0.27
SG1719,1719,"February 04, 2022, 12:00:00 AM",09:05,JS/2D,Pair of 2s,Aaron Aguirre,0.31,0.82,0.48,0.99
SG1720,1720,"June 19, 2021, 12:00:00 AM",01:05,10S/5S,Pair of 2s,Sherry Perez,0.25,0.21,0.77,0.74
SG1721,1721,"June 11, 2021, 12:00:00 AM",00:35,4S/JD,10 High,Karen Stevens,0.68,0.8,0.55,0.27
SG1722,1722,"October 18, 2021, 12:00:00 AM",14:10,JC/JS,Pair of 2s,Darrell Ruiz,0.54,0.77,0.25,0.94
SG1723,1723,"February 02, 2022, 12:00:00 AM",23:05,6C/3C,Pair of As,Joshua Woods,1.0,0.98,0.46,0.1
SG1724,1724,"November 09, 2021, 12:00:00 AM",20:30,QD/6C,8 High,Samuel Poole,0.12,0.33,0.48,0.74
SG1725,1725,"April 15, 2022, 12:00:00 AM",22:25,KC/10H,A High,Dr. Ryan Cervantes,0.59,0.85,0.34,0.8
SG1726,1726,"April 16, 2022, 12:00:00 AM",15:40,JD/6C,8 High,Jacqueline Koch,0.81,0.31,0.31,0.86
SG1727,1727,"March 20, 2022, 12:00:00 AM",08:15,2C/5D,10 High,Miguel Glass,0.15,0.72,0.9,0.15
SG1728,1728,"January 26, 2022, 12:00:00 AM",16:15,7H/QH,Pair of As,Alexis Chavez,0.47,0.55,0.16,0.02
SG1729,1729,"December 25, 2021, 12:00:00 AM",10:40,9C/KH,Pair of 2s,Elizabeth Hart,0.63,0.24,0.07,0.98
SG1730,1730,"March 29, 2022, 12:00:00 AM",06:35,4C/8H,Pair of As,Adam Mata,0.26,0.2,0.77,0.7
SG1731,1731,"September 29, 2021, 12:00:00 AM",13:35,5H/10H,Pair of As,Donna Jenkins,0.32,0.1,0.57,0.49
SG1732,1732,"September 26, 2021, 12:00:00 AM",14:05,AH/KS,Pair of 2s,Kimberly Lewis,0.86,0.72,0.33,0.37
SG1733,1733,"February 11, 2022, 12:00:00 AM",09:15,2H/AS,10 High,Michael Armstrong,0.8,0.06,0.55,0.93
SG1734,1734,"December 03, 2021, 12:00:00 AM",22:45,5C/3C,Pair of 2s,Troy Jones,0.67,0.74,0.85,0.85
SG1735,1735,"April 18, 2022, 12:00:00 AM",15:55,6H/KC,Pair of As,Bryan Morgan,0.75,0.6,0.15,0.07
SG1736,1736,"September 18, 2021, 12:00:00 AM",11:05,3C/2H,10 High,Alan Ortiz,0.31,0.47,0.36,0.31
SG1737,1737,"July 14, 2021, 12:00:00 AM",08:15,7D/2H,Pair of As,Austin Farley,0.75,0.8,0.22,0.81
SG1738,1738,"August 23, 2021, 12:00:00 AM",01:30,2D/8H,10 High,Kristen Henderson,0.6,0.33,0.29,0.36
SG1739,1739,"July 07, 2021, 12:00:00 AM",03:50,5H/JC,10 High,Michael Mitchell,0.3,0.41,0.14,0.26
SG1740,1740,"November 20, 2021, 12:00:00 AM",05:10,3C/JH,Pair of 2s,Marvin Reeves,0.28,0.57,0.42,0.46
SG1741,1741,"January 08, 2022, 12:00:00 AM",15:05,QS/10H,8 High,Jonathan Atkinson,0.62,0.83,0.43,0.96
SG1742,1742,"October 20, 2021, 12:00:00 AM",15:20,7C/4H,10 High,Danny Fletcher,0.6,0.92,0.93,0.79
SG1743,1743,"March 14, 2022, 12:00:00 AM",05:05,QS/AS,8 High,Christopher Thompson,0.56,0.78,0.33,0.76
SG1744,1744,"November 21, 2021, 12:00:00 AM",18:30,2S/4H,Pair of 2s,Timothy Jackson,0.5,0.12,0.48,0.49
SG1745,1745,"June 17, 2021, 12:00:00 AM",23:45,7D/3D,Pair of As,Jack Harris,0.13,0.39,0.4,0.67
SG1746,1746,"May 07, 2022, 12:00:00 AM",17:15,2D/9C,10 High,Jordan Johnson DDS,0.24,0.71,0.79,0.16
SG1747,1747,"May 25, 2022, 12:00:00 AM",02:30,JD/8C,A High,Anne Krause,0.36,0.93,0.83,0.01
SG1748,1748,"August 29, 2021, 12:00:00 AM",14:30,9H/3D,Pair of 2s,Kayla Wheeler,0.1,0.42,0.0,0.23
SG1749,1749,"March 10, 2022, 12:00:00 AM",18:55,QH/8H,Pair of 2s,Shannon Johnson,0.4,0.79,0.87,0.4
SG1750,1750,"May 15, 2022, 12:00:00 AM",18:35,4H/5D,Pair of 2s,Terry Gonzalez MD,0.03,0.28,0.57,0.26
SG1751,1751,"March 14, 2022, 12:00:00 AM",22:45,JD/6D,Pair of 2s,Steven Watkins,0.17,0.91,0.49,0.92
SG1752,1752,"November 21, 2021, 12:00:00 AM",21:15,JD/6H,A High,Rebecca Pacheco,0.42,0.72,0.06,0.74
SG1753,1753,"November 05, 2021, 12:00:00 AM",20:45,3D/10D,8 High,Phillip Baker,0.35,0.62,0.55,0.13
SG1754,1754,"June 21, 2021, 12:00:00 AM",22:05,2C/9C,Pair of 2s,Larry Castro,0.63,0.86,0.03,0.74
SG1755,1755,"November 18, 2021, 12:00:00 AM",11:55,JC/10D,A High,Dr. Michelle Barker DVM,0.84,0.7,0.98,0.26
SG1756,1756,"June 07, 2021, 12:00:00 AM",19:00,AC/9D,10 High,Jessica Smith,0.05,0.77,0.53,0.48
SG1757,1757,"August 21, 2021, 12:00:00 AM",04:50,6S/QS,A High,Melissa Benton,0.93,0.08,0.13,0.54
SG1758,1758,"February 10, 2022, 12:00:00 AM",22:00,QH/KD,A High,Tami Lewis,0.24,0.27,0.05,0.83
SG1759,1759,"July 15, 2021, 12:00:00 AM",01:20,QD/6S,10 High,William Stark,0.48,0.28,0.07,0.78
SG1760,1760,"September 26, 2021, 12:00:00 AM",11:25,AH/AS,Pair of 2s,Richard Huang MD,0.17,0.34,0.2,0.43
SG1761,1761,"April 15, 2022, 12:00:00 AM",03:20,7C/JD,A High,Kevin Garcia,0.09,0.21,0.05,0.16
SG1762,1762,"December 31, 2021, 12:00:00 AM",00:05,JC/3C,Pair of As,Jennifer Lang,0.29,0.03,0.56,0.26
SG1763,1763,"January 31, 2022, 12:00:00 AM",00:35,2D/5D,Pair of 2s,Rhonda Odonnell,1.0,0.38,0.22,0.36
SG1764,1764,"September 19, 2021, 12:00:00 AM",03:30,KS/8D,10 High,Lauren Guzman,0.23,0.26,0.03,0.86
SG1765,1765,"August 23, 2021, 12:00:00 AM",19:00,AS/JC,A High,Matthew Cooke,0.42,0.42,0.87,0.16
SG1766,1766,"October 24, 2021, 12:00:00 AM",03:00,7D/7S,A High,Elizabeth Payne,0.26,0.08,0.53,0.16
SG1767,1767,"August 16, 2021, 12:00:00 AM",06:15,JC/KD,A High,George Fowler,0.63,0.71,0.79,0.15
SG1768,1768,"October 28, 2021, 12:00:00 AM",05:50,10C/8D,Pair of 2s,Molly Hall,0.91,0.68,0.57,0.73
SG1769,1769,"January 01, 2022, 12:00:00 AM",14:00,10S/6H,8 High,Tonya Mason,0.43,0.64,0.24,0.85
SG1770,1770,"July 20, 2021, 12:00:00 AM",13:35,AS/2S,10 High,Danielle Howell,0.73,0.13,0.93,0.4
SG1771,1771,"March 11, 2022, 12:00:00 AM",08:35,QC/6D,10 High,Tracy Anderson,0.17,0.08,0.69,0.18
SG1772,1772,"January 05, 2022, 12:00:00 AM",15:05,10D/QH,Pair of As,Jeremiah Brown,0.91,0.94,0.51,0.74
SG1773,1773,"November 15, 2021, 12:00:00 AM",15:00,10C/10C,A High,Jason Mack MD,0.38,0.81,0.28,0.52
SG1774,1774,"January 23, 2022, 12:00:00 AM",10:35,5C/3S,A High,Bonnie Williams,0.52,0.54,0.63,0.09
SG1775,1775,"April 20, 2022, 12:00:00 AM",02:10,8D/4D,Pair of 2s,John Walls,0.9,0.02,0.47,0.07
SG1776,1776,"September 05, 2021, 12:00:00 AM",18:20,3H/9S,A High,Michael Mullins,0.47,0.6,0.9,0.41
SG1777,1777,"February 18, 2022, 12:00:00 AM",09:20,9C/7S,8 High,Jessica Keith,0.61,0.36,0.24,0.58
SG1778,1778,"July 22, 2021, 12:00:00 AM",11:00,QS/7S,Pair of As,Mitchell Harrison,0.68,0.85,0.19,0.81
SG1779,1779,"October 08, 2021, 12:00:00 AM",22:15,10C/4H,8 High,Stanley Mccoy,0.9,0.48,0.65,0.07
SG1780,1780,"September 22, 2021, 12:00:00 AM",14:35,4H/4C,Pair of As,Elizabeth Howard,0.99,0.26,0.96,0.5
SG1781,1781,"November 29, 2021, 12:00:00 AM",05:55,3D/6S,10 High,Rebecca Bautista,1.0,0.1,0.3,0.34
SG1782,1782,"October 27, 2021, 12:00:00 AM",21:15,7H/10H,Pair of 2s,Andrea Mcclure,0.36,0.45,0.01,0.19
SG1783,1783,"July 29, 2021, 12:00:00 AM",04:05,AH/AH,Pair of 2s,Jill Hughes,0.39,0.97,0.06,0.39
SG1784,1784,"January 26, 2022, 12:00:00 AM",10:35,3D/KH,8 High,Nancy Richardson,0.88,0.94,0.47,0.04
SG1785,1785,"April 22, 2022, 12:00:00 AM",15:10,KC/2C,A High,Katherine Velez,0.95,0.45,0.8,0.39
SG1786,1786,"January 07, 2022, 12:00:00 AM",14:15,2C/4C,Pair of 2s,Mario Jones,0.4,0.75,0.9,0.78
SG1787,1787,"January 27, 2022, 12:00:00 AM",01:50,AC/AD,Pair of 2s,Corey Stein,0.82,0.81,0.33,0.65
SG1788,1788,"June 15, 2021, 12:00:00 AM",01:30,2C/KS,10 High,Jennifer Bryant,0.78,0.73,0.71,0.07
SG1789,1789,"September 28, 2021, 12:00:00 AM",15:20,QS/7D,A High,Mrs. Kathryn Medina MD,0.95,0.05,0.89,0.79
SG1790,1790,"April 02, 2022, 12:00:00 AM",05:45,8C/QH,A High,Brianna Hester,0.88,0.82,0.67,0.93
SG1791,1791,"May 17, 2022, 12:00:00 AM",18:20,2C/7H,A High,Colleen Robertson,0.74,0.69,0.81,0.34
SG1792,1792,"August 17, 2021, 12:00:00 AM",13:30,JC/QH,8 High,Brent Oliver,0.53,0.77,0.61,0.41
SG1793,1793,"August 22, 2021, 12:00:00 AM",05:05,4C/5D,A High,Jeffery Sullivan,0.64,0.86,0.87,0.95
SG1794,1794,"January 19, 2022, 12:00:00 AM",22:40,5H/10S,A High,Lisa Robinson,0.05,0.25,0.6,0.94
SG1795,1795,"July 05, 2021, 12:00:00 AM",02:30,2S/8S,Pair of As,Barry Knight,0.17,0.17,0.79,0.02
SG1796,1796,"October 25, 2021, 12:00:00 AM",04:00,7C/7C,Pair of 2s,Christine Sparks DDS,0.4,0.93,0.98,0.94
SG1797,1797,"November 26, 2021, 12:00:00 AM",09:25,6S/6S,8 High,Alan Ballard,0.93,0.82,0.44,0.05
SG1798,1798,"November 08, 2021, 12:00:00 AM",06:10,3C/9S,Pair of 2s,Nicole Jacobs,0.53,0.1,0.64,0.2
SG1799,1799,"December 06, 2021, 12:00:00 AM",20:35,5D/KH,A High,Cassandra Shepherd,0.32,0.25,0.77,0.22
SG1800,1800,"October 12, 2021, 12:00:00 AM",15:40,7C/6D,Pair of As,Sandra Hodges,0.18,0.68,0.2,0.47
SG1801,1801,"December 17, 2021, 12:00:00 AM",08:55,6D/8D,10 High,Vincent Curtis,0.01,0.3,0.35,0.4
SG1802,1802,"December 02, 2021, 12:00:00 AM",22:35,9C/KC,8 High,Erica Gordon,0.22,0.56,0.09,0.67
SG1803,1803,"November 07, 2021, 12:00:00 AM",10:40,7H/9D,8 High,Kristy Flynn,0.62,0.34,0.3,0.49
SG1804,1804,"August 23, 2021, 12:00:00 AM",02:35,AD/QS,Pair of As,Mary Walker,0.6,0.44,0.67,0.52
SG1805,1805,"January 13, 2022, 12:00:00 AM",10:10,3S/AS,Pair of 2s,Cindy Williams,0.57,0.98,0.15,0.44
SG1806,1806,"June 01, 2022, 12:00:00 AM",18:20,7C/4S,Pair of As,Elizabeth Sharp MD,0.85,0.29,0.58,0.13
SG1807,1807,"February 11, 2022, 12:00:00 AM",22:55,4C/JH,Pair of 2s,Mikayla Romero,0.01,0.06,0.23,0.47
SG1808,1808,"February 06, 2022, 12:00:00 AM",10:10,5S/QC,Pair of 2s,Elizabeth Willis,0.26,0.73,0.57,0.71
SG1809,1809,"March 01, 2022, 12:00:00 AM",01:20,2C/5S,Pair of 2s,Heather Robinson DDS,0.45,0.14,0.69,0.73
SG1810,1810,"February 21, 2022, 12:00:00 AM",16:50,8S/2H,8 High,Nicholas Carter,0.88,0.66,0.93,0.35
SG1811,1811,"July 15, 2021, 12:00:00 AM",13:15,8C/JD,Pair of 2s,Amy Stout,0.26,0.18,0.94,0.87
SG1812,1812,"October 07, 2021, 12:00:00 AM",19:55,AH/9C,A High,Christopher Vaughan,0.89,0.64,0.29,0.91
SG1813,1813,"July 01, 2021, 12:00:00 AM",20:10,5D/7C,10 High,Brooke Carlson,0.22,0.14,0.72,0.99
SG1814,1814,"April 29, 2022, 12:00:00 AM",02:30,KD/6C,A High,Michael Garrett,0.79,0.08,0.06,0.36
SG1815,1815,"September 06, 2021, 12:00:00 AM",11:10,8S/KS,Pair of 2s,Katherine Haynes,0.95,0.62,0.11,0.28
SG1816,1816,"March 18, 2022, 12:00:00 AM",06:30,4H/5C,8 High,Stacey Perkins,0.62,0.17,0.79,0.72
SG1817,1817,"June 06, 2021, 12:00:00 AM",16:55,4S/8S,8 High,Kristine Jones,0.92,0.2,0.24,0.15
SG1818,1818,"January 02, 2022, 12:00:00 AM",20:25,10D/2S,8 High,Douglas Fuller,0.18,0.09,0.02,0.98
SG1819,1819,"June 29, 2021, 12:00:00 AM",22:40,JC/8C,Pair of As,Mary Middleton,0.6,0.62,0.69,0.2
SG1820,1820,"December 07, 2021, 12:00:00 AM",23:20,JH/2C,10 High,Colin Brown,0.73,0.48,0.63,0.32
SG1821,1821,"September 25, 2021, 12:00:00 AM",23:25,6D/3D,A High,Gregory Mitchell,0.23,0.04,0.07,0.63
SG1822,1822,"July 05, 2021, 12:00:00 AM",20:10,5H/QS,Pair of As,Mary Martinez,0.15,0.67,0.49,0.47
SG1823,1823,"March 04, 2022, 12:00:00 AM",16:15,7H/8C,10 High,Laura Hunter,0.18,0.61,0.55,0.12
SG1824,1824,"September 08, 2021, 12:00:00 AM",04:55,QS/2S,8 High,Michelle Nelson,0.76,0.51,0.47,0.09
SG1825,1825,"January 21, 2022, 12:00:00 AM",08:10,KC/8S,8 High,Shelby Davis,0.75,0.65,0.68,0.42
SG1826,1826,"August 03, 2021, 12:00:00 AM",09:40,JC/JD,10 High,Benjamin Carpenter,0.4,0.34,0.17,0.45
SG1827,1827,"November 14, 2021, 12:00:00 AM",03:10,6C/10S,Pair of 2s,Andrew Weiss,0.31,0.66,0.68,0.95
SG1828,1828,"October 12, 2021, 12:00:00 AM",22:55,5H/4D,A High,Chelsea Combs,0.82,0.95,0.91,0.73
SG1829,1829,"May 28, 2022, 12:00:00 AM",04:35,QH/KD,A High,Jason Terry,0.13,0.43,0.01,0.18
SG1830,1830,"May 29, 2022, 12:00:00 AM",23:30,6D/3S,A High,Kimberly Welch,0.09,0.73,0.09,0.46
SG1831,1831,"June 22, 2021, 12:00:00 AM",14:05,2C/2C,8 High,David Wilson,0.93,0.8,0.37,0.67
SG1832,1832,"February 17, 2022, 12:00:00 AM",11:30,9C/5C,Pair of 2s,Ethan Lopez,0.14,0.98,0.27,0.34
SG1833,1833,"June 29, 2021, 12:00:00 AM",14:40,AD/2H,Pair of 2s,Chad Cummings,0.45,0.71,0.67,0.05
SG1834,1834,"March 21, 2022, 12:00:00 AM",14:30,8C/KH,Pair of As,Michael Rich,0.6,0.59,0.91,0.09
SG1835,1835,"May 01, 2022, 12:00:00 AM",13:00,AH/7H,8 High,Carolyn Flores,0.37,0.72,0.34,0.81
SG1836,1836,"November 01, 2021, 12:00:00 AM",22:05,JS/JC,8 High,Courtney Anderson,0.77,0.89,0.57,0.59
SG1837,1837,"May 23, 2022, 12:00:00 AM",19:10,3S/8C,8 High,Kevin Burke,0.57,0.72,0.86,0.19
SG1838,1838,"March 25, 2022, 12:00:00 AM",16:25,9C/JS,10 High,Travis Wood,0.38,0.17,0.59,0.06
SG1839,1839,"April 18, 2022, 12:00:00 AM",17:25,4D/QD,10 High,Julie Skinner,0.31,0.46,0.14,0.8
SG1840,1840,"February 05, 2022, 12:00:00 AM",02:05,8H/QC,10 High,Jose Quinn,0.99,0.77,0.07,0.71
SG1841,1841,"May 16, 2022, 12:00:00 AM",23:35,3H/8H,A High,Gerald Brown,0.45,0.27,0.8,0.74
SG1842,1842,"September 22, 2021, 12:00:00 AM",07:55,2S/10H,A High,Richard Reynolds,0.22,0.41,0.15,0.69
SG1843,1843,"May 30, 2022, 12:00:00 AM",21:20,KS/2D,10 High,Angela Chapman,0.91,0.62,0.96,0.03
SG1844,1844,"March 23, 2022, 12:00:00 AM",11:35,QH/9C,Pair of As,Christopher Mccarthy,0.48,0.4,0.76,0.98
SG1845,1845,"December 19, 2021, 12:00:00 AM",06:50,2C/6D,8 High,Randy Mendez,0.39,0.83,0.99,0.76
SG1846,1846,"August 30, 2021, 12:00:00 AM",05:50,7D/8D,Pair of As,Chad Hayes,0.15,0.07,0.17,0.91
SG1847,1847,"January 29, 2022, 12:00:00 AM",18:15,7S/QC,8 High,Kelly Turner,0.42,0.53,0.93,0.92
SG1848,1848,"July 26, 2021, 12:00:00 AM",04:45,9D/6C,Pair of As,Megan Carr,0.42,0.16,0.93,0.71
SG1849,1849,"September 09, 2021, 12:00:00 AM",16:05,5H/10C,A High,Emily Taylor,0.93,0.89,0.42,0.71
SG1850,1850,"June 02, 2022, 12:00:00 AM",06:00,KD/4D,A High,Teresa Weiss,0.63,0.07,0.46,0.89
SG1851,1851,"March 26, 2022, 12:00:00 AM",02:05,9C/QS,Pair of 2s,Mark Alexander,0.77,0.1,0.18,0.55
SG1852,1852,"July 30, 2021, 12:00:00 AM",22:45,9D/4D,10 High,Amy Clark,0.57,0.49,0.19,0.43
SG1853,1853,"December 26, 2021, 12:00:00 AM",08:45,3H/6D,10 High,Heather Graham,0.5,0.88,0.64,0.84
SG1854,1854,"September 23, 2021, 12:00:00 AM",13:55,2H/AC,10 High,Denise Thomas,0.5,0.81,0.09,0.67
SG1855,1855,"December 05, 2021, 12:00:00 AM",07:45,8H/JH,8 High,Lee Carey,0.39,0.54,0.08,0.86
SG1856,1856,"February 07, 2022, 12:00:00 AM",06:40,4S/9D,A High,Ryan Smith,0.85,0.34,0.94,0.14
SG1857,1857,"April 25, 2022, 12:00:00 AM",04:20,8S/4C,Pair of 2s,Christopher Vazquez,0.06,0.97,0.28,0.32
SG1858,1858,"August 21, 2021, 12:00:00 AM",21:55,8C/7D,10 High,Shelby Marquez,0.18,0.84,0.77,0.29
SG1859,1859,"April 10, 2022, 12:00:00 AM",01:55,2C/KH,8 High,Erica Thomas,0.67,0.79,0.92,0.71
SG1860,1860,"October 31, 2021, 12:00:00 AM",21:00,KS/9S,Pair of As,Lori Medina,0.06,0.58,0.7,0.15
SG1861,1861,"August 20, 2021, 12:00:00 AM",17:45,5C/3H,10 High,Cynthia Vega,0.11,0.57,0.08,0.89
SG1862,1862,"September 04, 2021, 12:00:00 AM",20:35,5C/7C,8 High,Steven Kim,0.82,0.32,0.31,0.18
SG1863,1863,"February 10, 2022, 12:00:00 AM",23:05,10S/5C,10 High,Billy Gates,0.36,0.24,0.59,0.32
SG1864,1864,"November 08, 2021, 12:00:00 AM",18:35,3H/7D,10 High,Lori Jimenez,0.32,0.41,0.95,0.66
SG1865,1865,"May 27, 2022, 12:00:00 AM",17:35,9S/AH,Pair of 2s,Brian Hunt,0.32,0.31,0.72,0.17
SG1866,1866,"August 14, 2021, 12:00:00 AM",20:10,5S/6C,Pair of As,Diana Jacobs,0.52,0.97,0.59,0.87
SG1867,1867,"December 20, 2021, 12:00:00 AM",13:40,3H/9D,Pair of As,Hannah Reyes,0.8,0.6,0.54,0.52
SG1868,1868,"April 13, 2022, 12:00:00 AM",04:55,7S/8H,10 High,Sarah Robinson,0.51,0.44,0.07,0.34
SG1869,1869,"January 08, 2022, 12:00:00 AM",01:15,9C/10H,A High,Craig Smith,0.9,0.75,0.3,0.95
SG1870,1870,"December 01, 2021, 12:00:00 AM",08:30,3D/10C,Pair of 2s,Adam Lawrence,0.23,0.98,0.1,0.19
SG1871,1871,"August 16, 2021, 12:00:00 AM",18:10,KC/AD,Pair of 2s,Timothy Thompson,0.17,0.09,0.68,0.89
SG1872,1872,"March 09, 2022, 12:00:00 AM",14:35,AS/2H,10 High,Mary Robertson,0.14,0.98,0.48,0.14
SG1873,1873,"November 29, 2021, 12:00:00 AM",03:45,6D/QS,10 High,Michele Lloyd,0.64,0.92,0.14,0.69
SG1874,1874,"April 20, 2022, 12:00:00 AM",18:20,QS/JD,8 High,Sandra Ford DVM,0.88,0.96,0.02,0.67
SG1875,1875,"January 16, 2022, 12:00:00 AM",12:45,6H/QH,A High,Lisa Houston,0.01,0.18,0.15,0.17
SG1876,1876,"April 30, 2022, 12:00:00 AM",08:00,10H/2H,A High,James Medina,0.63,0.6,0.91,0.01
SG1877,1877,"January 26, 2022, 12:00:00 AM",13:50,7D/9D,10 High,Frank Brennan,0.49,0.68,0.03,0.32
SG1878,1878,"September 11, 2021, 12:00:00 AM",17:50,3S/10H,8 High,Susan Chapman,0.39,0.92,0.67,0.0
SG1879,1879,"December 14, 2021, 12:00:00 AM",23:55,6C/10C,A High,Zachary Jordan,0.41,0.31,0.4,0.73
SG1880,1880,"July 01, 2021, 12:00:00 AM",08:15,6H/AD,8 High,Jasmin Rocha,0.4,0.47,0.95,0.56
SG1881,1881,"July 01, 2021, 12:00:00 AM",06:25,10H/6D,10 High,Christopher Avila,0.66,0.65,0.91,0.78
SG1882,1882,"September 02, 2021, 12:00:00 AM",22:00,KH/8H,10 High,Susan Bishop,0.29,0.6,0.87,0.62
SG1883,1883,"January 04, 2022, 12:00:00 AM",13:50,9C/4S,Pair of 2s,Kayla Norris,0.5,0.16,0.64,0.39
SG1884,1884,"February 12, 2022, 12:00:00 AM",23:30,QS/2S,8 High,Michael Rivera,0.54,0.37,0.17,0.18
SG1885,1885,"March 02, 2022, 12:00:00 AM",20:40,4C/4D,Pair of 2s,Katherine Anderson,0.1,0.69,0.17,0.19
SG1886,1886,"November 12, 2021, 12:00:00 AM",11:45,10H/4C,8 High,Virginia Reyes,0.94,0.76,0.17,0.81
SG1887,1887,"January 13, 2022, 12:00:00 AM",03:25,QD/2H,Pair of 2s,Maria Smith,0.13,0.29,0.52,0.62
SG1888,1888,"December 12, 2021, 12:00:00 AM",13:50,7S/3H,10 High,Nathan Clark,0.76,0.08,0.61,0.53
SG1889,1889,"August 07, 2021, 12:00:00 AM",05:00,10H/9C,8 High,Sherri Ball,0.54,0.24,0.64,0.45
SG1890,1890,"February 12, 2022, 12:00:00 AM",13:30,9D/4S,10 High,Matthew Solis,0.66,0.89,0.54,0.61
SG1891,1891,"July 27, 2021, 12:00:00 AM",20:20,4H/QD,Pair of 2s,John Watson,0.23,0.32,0.16,0.6
SG1892,1892,"June 03, 2022, 12:00:00 AM",12:35,5C/QH,10 High,Alyssa Ali,0.59,0.13,0.22,0.37
SG1893,1893,"April 26, 2022, 12:00:00 AM",08:40,5S/8C,8 High,James Frey,0.06,0.36,0.87,0.22
SG1894,1894,"August 05, 2021, 12:00:00 AM",18:05,8C/4H,A High,Kirsten Hamilton,0.81,0.51,0.07,0.13
SG1895,1895,"April 09, 2022, 12:00:00 AM",06:25,8S/6S,10 High,Maureen Chen,0.67,0.08,0.22,0.37
SG1896,1896,"May 17, 2022, 12:00:00 AM",14:25,3C/AS,Pair of 2s,Kiara Patterson,0.32,0.34,0.02,0.44
SG1897,1897,"April 21, 2022, 12:00:00 AM",09:30,10S/6S,Pair of As,Daniel Montoya,0.97,0.65,0.99,0.8
SG1898,1898,"May 03, 2022, 12:00:00 AM",16:15,6H/2D,8 High,Mario Powell,0.84,0.02,0.8,0.12
SG1899,1899,"July 09, 2021, 12:00:00 AM",20:50,6D/5C,A High,Natalie Gibson,0.62,0.81,0.15,0.08
SG1900,1900,"July 18, 2021, 12:00:00 AM",11:25,4S/9S,A High,Harry Moore,0.05,0.33,0.35,0.06
SG1901,1901,"May 01, 2022, 12:00:00 AM",01:30,2C/4H,8 High,Carla Griffin,0.99,0.48,0.84,0.45
SG1902,1902,"June 10, 2021, 12:00:00 AM",12:55,6D/6D,Pair of As,Andrew Ramirez,0.89,0.59,0.55,0.81
SG1903,1903,"January 11, 2022, 12:00:00 AM",02:45,KH/2D,10 High,Christine Adkins,0.26,0.27,0.5,0.5
SG1904,1904,"March 15, 2022, 12:00:00 AM",07:45,5C/8S,8 High,Michelle Nelson,0.04,0.41,0.91,0.62
SG1905,1905,"June 14, 2021, 12:00:00 AM",21:10,8D/KD,A High,Ricardo Landry,0.65,0.18,0.82,0.3
SG1906,1906,"September 16, 2021, 12:00:00 AM",10:55,KC/QH,Pair of 2s,Rebecca Thomas,0.39,0.13,0.2,0.83
SG1907,1907,"February 19, 2022, 12:00:00 AM",20:10,KC/9C,8 High,Megan Little,0.09,0.81,0.91,0.44
SG1908,1908,"December 26, 2021, 12:00:00 AM",22:40,AD/6S,Pair of 2s,Whitney Butler,0.21,0.01,0.57,0.96
SG1909,1909,"August 11, 2021, 12:00:00 AM",15:15,4H/3C,8 High,Matthew Wilson,0.58,0.64,0.59,0.89
SG1910,1910,"September 03, 2021, 12:00:00 AM",20:40,QS/10C,A High,Brian Floyd,0.18,0.76,0.42,0.8
SG1911,1911,"December 08, 2021, 12:00:00 AM",20:10,JD/3D,A High,Joseph Flores,0.89,0.23,0.21,0.05
SG1912,1912,"June 20, 2021, 12:00:00 AM",11:30,KS/10D,8 High,Rachel Liu,0.83,0.98,0.84,0.5
SG1913,1913,"September 27, 2021, 12:00:00 AM",12:10,3D/9S,Pair of As,Frank Bryant,0.26,0.09,0.17,0.63
SG1914,1914,"April 19, 2022, 12:00:00 AM",12:50,6H/9S,10 High,Joel Black,0.39,0.6,0.26,0.93
SG1915,1915,"July 03, 2021, 12:00:00 AM",14:20,6D/5H,8 High,Heather Myers,0.54,0.17,0.66,0.86
SG1916,1916,"April 05, 2022, 12:00:00 AM",08:45,QD/9C,8 High,Frederick Summers,0.29,0.71,0.25,0.32
SG1917,1917,"April 29, 2022, 12:00:00 AM",08:40,QD/10S,Pair of 2s,Tammy Obrien,0.84,0.98,0.04,0.65
SG1918,1918,"November 14, 2021, 12:00:00 AM",04:50,9C/9H,10 High,Bobby Taylor,0.89,0.47,0.55,0.72
SG1919,1919,"March 08, 2022, 12:00:00 AM",06:00,AS/6C,10 High,Thomas Ayala,0.88,0.76,0.52,0.53
SG1920,1920,"August 22, 2021, 12:00:00 AM",01:30,9C/QS,A High,Julie Allen,0.68,0.28,0.1,0.1
SG1921,1921,"October 10, 2021, 12:00:00 AM",11:55,7C/4C,A High,Mr. Johnny Patel,0.41,0.98,0.35,0.15
SG1922,1922,"December 07, 2021, 12:00:00 AM",22:10,7D/4S,A High,Dr. Melissa Mitchell,0.95,0.97,0.94,0.04
SG1923,1923,"May 25, 2022, 12:00:00 AM",12:05,JS/10S,10 High,Destiny Waller,0.84,0.63,0.1,0.51
SG1924,1924,"January 10, 2022, 12:00:00 AM",02:30,JH/5C,10 High,Mark Wilson,0.87,0.92,0.45,0.64
SG1925,1925,"November 04, 2021, 12:00:00 AM",12:25,AC/5H,10 High,Michelle Lewis,0.01,0.75,0.44,0.08
SG1926,1926,"August 16, 2021, 12:00:00 AM",17:05,6S/3C,Pair of 2s,Autumn Smith,0.53,0.43,0.62,0.57
